 appendix | cites_taxon_code | approved_taxon_code |                     cites_name                     | export_country_code | import_country_code | origin_country_code | quantity_1 | term_code_1 | unit_code_1 |    taxon_family    | purpose_code | source_code | reporter_type | shipment_number | shipment_year | global_trade 
----------+------------------+---------------------+----------------------------------------------------+---------------------+---------------------+---------------------+------------+-------------+-------------+--------------------+--------------+-------------+---------------+-----------------+---------------+--------------
 2        | 2305.2           | 2305.2              | Iguana iguana                                      | US                  | NL                  | SR                  |        100 | LIV         |             | Iguanidae          |              |             | I             | 394291          | 1984          | f
 2        | 686              | 689.4               | Lynx rufus                                         | NL                  | SU                  | XX                  |          1 | LIV         |             | Felidae            |              |             | E             | 396961          | 1984          | f
 2        | 2354             | 2354                | Varanus niloticus                                  | IT                  | ZA                  | SD                  |          5 | HAN         |             | Varanidae          |              |             | E             | 400471          | 1984          | f
 2        | 2354             | 2354                | Varanus niloticus                                  | IT                  | US                  | SD                  |         90 | SHO         |             | Varanidae          |              |             | E             | 400675          | 1984          | f
 2        | 684.3            | 689.2               | Lynx lynx                                          | GB                  | CH                  | CN                  |          1 | SKI         |             | Felidae            |              |             | E             | 401565          | 1984          | f
 2        | 2333.3           | 2333.3              | Tupinambis teguixin                                | IT                  | US                  | AR                  |         78 | SHO         |             | Teiidae            |              |             | E             | 403370          | 1984          | f
 2        | 2354             | 2354                | Varanus niloticus                                  | IT                  | AT                  | SD                  |          4 | HAN         |             | Varanidae          |              |             | E             | 403988          | 1984          | f
 2        | 2354             | 2354                | Varanus niloticus                                  | IT                  | US                  | SD                  |         17 | SHO         |             | Varanidae          |              |             | E             | 404182          | 1984          | f
 2        | 2354             | 2354                | Varanus niloticus                                  | IT                  | US                  | NG                  |        168 | SKO         |             | Varanidae          |              |             | E             | 405180          | 1984          | f
