id, term_code, english_term_name, english_explanation, french_term_name, spanish_term_name, created_at, updated_at 
1, BEL, belts , belts , ceintures , cinturones , , 
2, BOC, bone carvings, bone carvings , sculptures en os, esculturas en hueso, , 
3, BOD, bodies , bodies , corps , cuerpos , , 
4, BON, bones , bones , os , huesos , , 
5, BOP, bone pieces , bone pieces , morceaux d'os, trozos en hueso, , 
6, BPR, bone products, bone products , produits en os, productos en hueso, , 
7, CAP, carapaces , carapaces , carapaces , carapaces , , 
8, CAL, calipee , calipee , calipee , calipee , , 
9, CAR, carvings , carvings , sculptures , esculturas , , 
10, BAR, bark , bark , , , , 
11, CHP, chips , chips , chips , chips , , 
12, CLA, claws , claws , griffes , garras , , 
13, CLO, cloth , cloth , tissus , tejidos , , 
14, COR, raw corals , raw corals , coraux bruts , coral no trab., , 
15, CST, chess sets , chess sets , jeux d'echecs, juegos de ajedrez, , 
16, CUL, cultures , cultures , cultures , cultivos , , 
17, DER, derivatives , derivatives , produits , productos , , 
18, DPL, dried plants , dried plants , plantes sechees, plantas secas, , 
19, EAR, ears , ears , oreilles , orejas , , 
20, EGG, eggs , eggs , oeufs , huevos , , 
21, COS, coral sand , coral sand , , , , 
22, EGL, eggs (live) , eggs (live) , oeufs (vivants), huevos (vivos), , 
23, EXT, extract , extract , extraits , extractos , , 
24, FEA, feathers , feathers , plumes , plumas , , 
25, FIB, fibres , fibres , fibres , fibras , , 
26, FLO, flowers , flowers , fleurs , flores , , 
27, FOO, feet , feet , pieds , patas , , 
28, FPT, flower pots , flower pots , pots de fleurs, macetas de flores, , 
29, FRA, spectacle frames, spectacle frames , montures de lunettes, armazones anteojos, , 
30, FRN, items of furniture, items of furniture, meubles , muebles , , 
31, FRU, fruit , fruit , fruit , fruto , , 
32, GAR, garments , garments , vetements , ropa , , 
33, GRS, graft rootstocks, graft rootstocks , porte-greffes, rizomas injertados, , 
34, HAI, hair , hair , poils , pelos , , 
35, HAN, handbags , handbags , sacs a main , carteras , , 
36, HOC, horn carvings, horn carvings , sculptures en corne, esculturas en cuerno, , 
37, HOP, horn pieces , horn pieces , morceaux en corne, trozos en cuerno, , 
38, HOR, horns , horns , cornes , cuernos , , 
39, HOS, horn scraps , horn scraps , fragments de corne, fragmentos en cuerno, , 
40, GAL, gall , gall , , , , 
41, GAB, gall bladder(s), gall bladders , , , , 
42, HEA, heads , heads , , , , 
43, GEN, genitalia , genitalia , , , , 
44, HAP, hair products, , , , , 
45, HPR, horn products, horn products , produits en corne, productos en cuerno, , 
46, IVC, ivory carvings, ivory carvings , sculptures en ivoire, esculturas en marfil, , 
47, IVP, ivory pieces , ivory pieces , morceaux d'ivoire, trozos en marfil, , 
48, IVS, ivory scraps , ivory scraps , fragments d'ivoire, fragmentos en marfil, , 
49, LEA, leather , leather , cuirs , cueros , , 
50, LEG, legs , legs , jambes , patas , , 
51, LIV, live , live , vivants , vivos , , 
52, LVS, leaves , leaves , feuilles , hojas , , 
53, MEA, meat , meat , viande , carne , , 
54, LPL, leather products (l), leather products (large), , , , 
55, LPS, leather products (s), leather products (small), , , , 
56, LOG, logs , logs , , , , 
57, SAW, sawn wood , sawn timber , bois de sciage, saw-wood , , 
58, MUS, musk , musk , musc , almizcle , , 
59, OIL, oil , oil , huile , aceite , , 
60, OTH, other , other , autres , otros , , 
61, PIE, pieces , pieces , morceaux , trozos , , 
62, PKY, piano keys , for translation , , , , 
63, PLA, plates , plates , nappes , napas , , 
64, ROO, roots , roots , racines , raices , , 
65, SCA, scales , scales , ecailles , escamas , , 
66, QUI, quills , quills , , , , 
67, POW, powder , powder , , , , 
68, PEA, pearls , , , , , 
69, SCR, scraps , scraps , fragments , fragmentos , , 
70, SEE, seeds , seeds , graines , granos , , 
71, SHE, shells , shells , coquilles , conchas , , 
72, SHO, pairs of shoes, pairs of shoes , chaussures (paires), zapatos (pares), , 
73, SKE, skeletons , skeletons , squelettes , esqueletos , , 
74, SKI, skins , skins , peaux , pieles , , 
75, SKO, leather items, leather items , articles en peau, articulos en piel, , 
76, SKP, skin pieces , skin pieces , morceaux de peau, trozos en piel, , 
77, SKS, skin scraps , skin scraps , fragments de peau, fragmentos en piel, , 
78, BAL, baleen , baleen , baleen , baleen , , 
79, SKU, skulls , skulls , cranes , craneos , , 
80, SOU, soup , soup , soupe , sopa , , 
81, SPE, specimens , specimens , echantillons , especimenes , , 
82, STE, stems , stems , tiges , tallos , , 
83, TAI, tails , tails , queues , colas , , 
84, TEE, teeth , teeth , dents , dientes , , 
85, TIC, timber carvings, timber carvings , sculptures en bois, esculturas en madera, , 
86, TIM, timber , timber , bois d'oeuvre, maderas construccion, , 
87, TIP, timber pieces, pieces of timber , , , , 
88, SWI, swim bladders, swim bladders , , , , 
89, TIS, tissue cultures, tissue cultures , tissue cultures, tissue cultures, , 
90, TRO, trophies , trophies , trophees , trofeos , , 
91, TUS, tusks , tusks , defenses , colmillos , , 
92, UNS, unspecified , unspecified , non specifies, no especificado, , 
93, WAL, wallets , wallets , porte-monnaie, monederos , , 
94, WAT, watchstraps , watchstraps , bracelets de montre, pulseras de reloj, , 
95, WAX, wax , wax , cire , cera , , 
96, WOO, wood products, wood products , produits en bois, productos en madera, , 
97, VEN, veneer , veneer , , , , 
98, VNM, venom , snake venom , , , , 
99, PLY, plywood , plywood , plywood , plywood , , 
100, FIN, fins , fins , fins , fins , , 
101, SKD, sides , sides , sides , sides , , 
102, SID, sides , sides , sides , sides , , 
102 rows)

